Area,Item,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,"Meat, goat",0.0,0.0,4330.1,3438.0,1723.2,1965.3,1762.0,2788.2,3159.3,3298.3,3338.3,3546.1,4152.2,4962.1,4836.3,4892.8,5308.1,5661.9,7075.3,6494.4,7562.3,7032.2,5172.3,4184.5,4674.8,3615.2,3779.3,0.0,0.0
Albania,"Meat, pig",0.0,0.0,2502.0,2078.8,2481.2,2679.5,2014.3,2290.3,2614.6,2748.6,2822.6,3353.4,4012.7,4757.7,4375.7,4077.3,4644.6,5006.3,5474.9,5031.9,5580.1,5546.1,4202.9,5028.4,4025.0,4099.6,4355.4,4890.6,0.0
Albania,"Meat, sheep",0.0,0.0,3085.5,2843.4,3128.7,3101.8,2520.1,2987.4,3268.2,3381.8,3519.5,3845.8,4513.3,5497.2,5507.1,5402.5,5861.0,6198.3,7001.6,6398.1,7354.2,7193.3,5492.2,4834.8,4910.3,3861.9,3895.2,4500.6,0.0
Albania,"Meat, turkey",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3717.6,4212.3,4035.9,4063.1,4566.4,5694.9,7073.4,3354.4,4077.3,4257.5,4410.3,5264.4,5772.8,6323.4,6008.2,6939.9,7887.8,6382.9,6882.0,7229.6,7440.8,0.0
Albania,"Melons, other (inc.cantaloupes)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.5,367.0,298.6,345.7,294.8,375.2,337.0,323.5,511.0,450.3,379.5,361.0,432.5,383.8,411.8
Albania,"Milk, whole fresh cow",0.0,0.0,344.4,0.0,215.8,191.4,235.0,232.4,261.5,285.3,287.1,295.4,341.4,406.7,405.5,399.6,429.1,441.6,418.5,448.1,498.6,523.1,444.8,395.0,418.5,328.5,350.2,371.8,373.9
Albania,"Milk, whole fresh goat",0.0,0.0,326.1,295.9,235.2,210.5,194.7,193.8,217.9,222.7,223.0,228.3,264.2,330.8,340.4,356.8,381.5,405.3,480.6,442.6,488.6,740.9,520.5,526.2,415.4,450.6,461.1,453.7,477.4
Albania,"Milk, whole fresh sheep",0.0,0.0,389.4,394.2,431.5,449.8,423.0,232.4,276.0,292.3,292.7,299.7,345.5,467.0,470.6,468.9,503.2,530.4,472.2,433.0,497.5,716.1,785.5,736.6,436.0,650.9,665.6,755.5,747.2
Albania,Nuts nes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3283.8,3536.2,3151.8,3050.6,3540.8,4112.6,3871.7
Albania,Oats,0.0,0.0,0.0,0.0,215.8,258.4,194.7,192.5,214.2,208.8,209.1,214.0,246.2,340.5,340.4,356.8,303.0,405.3,358.0,346.1,367.7,342.9,463.7,373.7,317.6,329.1,322.4,342.9,339.9
Albania,Okra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.3,0.0,0.0,0.0,0.0,0.0,0.0
Albania,Olives,0.0,0.0,0.0,0.0,248.1,430.6,362.6,398.3,435.8,338.2,460.0,535.1,814.8,668.4,500.6,886.8,1465.3,1573.4,1379.3,1241.1,1486.7,693.3,1447.9,1705.7,1429.0,1447.8,1606.9,1025.9,1721.5
Albania,"Onions, dry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.4,336.4,254.3,286.1,305.3,365.6,297.3,212.6,520.5,384.8,317.6,319.2,298.1,403.0,485.2
Albania,"Onions, shallots, green",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.3,353.9,560.2,442.2,606.1,545.1,425.2,766.5,593.3,508.1,456.6,639.1,673.4,787.7
Albania,Oranges,0.0,0.0,508.8,0.0,431.5,421.1,322.3,272.2,421.2,312.4,418.9,449.5,524.4,428.1,460.6,433.2,364.9,488.7,421.1,423.3,475.7,342.0,671.9,413.4,444.6,397.7,455.1,500.1,489.5
Albania,Peaches and nectarines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.8,519.9,575.0,715.2,621.2,567.7,525.3,452.9,804.4,726.2,627.2,603.6,503.1,587.1,616.5
Albania,Pears,0.0,0.0,0.0,0.0,431.5,501.4,404.9,389.7,428.5,417.5,441.9,458.1,533.4,611.0,761.0,846.0,995.3,1120.5,873.9,635.0,614.5,582.3,984.2,877.6,698.6,674.7,728.6,736.0,807.7
Albania,"Peas, dry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.8,442.3,524.5,684.4,548.4,545.1,582.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,"Peas, green",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.2,627.8,782.1,648.1
Albania,Plums and sloes,0.0,0.0,272.7,275.8,323.6,334.9,255.1,240.3,261.5,252.6,257.2,269.7,311.8,367.8,540.7,601.4,475.5,369.5,400.1,298.3,346.9,305.0,482.6,442.4,357.3,343.5,509.7,541.9,521.4
Albania,Potatoes,0.0,0.0,320.5,338.2,226.5,287.1,233.0,232.4,239.7,212.2,197.2,193.4,293.8,303.6,240.3,305.8,342.8,333.8,347.4,336.7,277.5,268.1,567.8,354.7,246.1,293.3,281.7,309.2,417.8
Albania,"Pumpkins, squash and gourds",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.2,315.2,309.9,273.7,336.7,436.1,360.5,548.9,544.7,404.9,421.7,626.7,557.7,586.9
Albania,Quinces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.0,475.7,258.8,105.0,736.3,563.7,748.6,688.9,743.8,646.9
Albania,"Rice, paddy",0.0,0.0,726.7,570.7,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,Rye,0.0,0.0,0.0,215.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.8,353.9,417.2,368.5,292.1,339.0,316.1,454.2,416.1,381.1,430.5,500.4,482.1,520.4
Albania,Soybeans,0.0,0.0,0.0,0.0,0.0,478.5,335.7,331.9,435.8,487.1,486.5,499.4,574.4,681.1,700.9,713.5,776.3,834.4,737.0,673.5,743.3,693.3,0.0,956.0,793.9,525.5,539.0,550.5,592.7
Albania,Spinach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.7,540.2,298.6,417.2,684.4,586.9,535.2,443.7,899.0,542.0,524.0,493.2,563.0,786.1,707.5
Albania,Sunflower seed,0.0,0.0,0.0,0.0,0.0,334.9,349.2,351.8,388.6,382.7,383.3,392.4,453.0,535.1,550.7,560.6,669.0,721.1,637.0,582.1,596.7,556.5,1279.9,1226.9,1032.1,839.9,965.2,1148.7,1152.1
Albania,"Tangerines, mandarins, clementines, satsumas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.0,642.2,696.7,834.4,800.2,567.7,525.3,536.1,738.2,610.5,468.4,445.3,517.4,478.5,490.0
Albania,"Tobacco, unmanufactured",0.0,0.0,0.0,0.0,2373.3,2201.0,1678.6,2389.9,2774.3,2679.0,2718.1,2782.6,3200.3,3794.5,3905.1,3975.4,2930.5,3158.7,3009.1,2749.8,2832.6,2641.8,4097.7,2524.4,2088.0,2291.6,3072.6,3841.0,3788.6
Albania,Tomatoes,0.0,0.0,913.6,0.0,323.6,315.8,269.9,269.5,260.0,274.9,303.9,299.7,344.6,351.2,380.5,390.4,552.9,464.9,494.9,454.1,392.5,434.4,738.2,543.6,460.5,446.2,476.4,548.8,412.0
Albania,"Vegetables, fresh nes",0.0,0.0,437.1,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,"Vegetables, leguminous nes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447.9,907.0,0.0,0.0,0.0,0.0,0.0
Albania,Watermelons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.1,152.9,88.5,178.8,105.3,125.1,89.2,166.4,208.2,305.0,150.8,133.9,191.8,177.1,178.6
